location,target_count,target_sum,geodata,address,point
"saline, mi",1,1,"Saline County, Missouri, United States of America","Saline County, Missouri, United States of America","(39.1256186, -93.2300648, 0.0)"
"salt lake city, ut",1,1,"Salt Lake City, Utah, United States of America","Salt Lake City, Utah, United States of America","(40.7596198, -111.8867975, 0.0)"
"salt lake city, utah",1,0,"Salt Lake City, Utah, United States of America","Salt Lake City, Utah, United States of America","(40.7596198, -111.8867975, 0.0)"
"saltillo, coahuila de zaragoza",1,0,"Saltillo, Coahuila de Zaragoza, 25000, México","Saltillo, Coahuila de Zaragoza, 25000, México","(25.4230425, -100.9927509, 0.0)"
"san antonio, tx",2,1,"San Antonio, Bexar County, Texas, United States of America","San Antonio, Bexar County, Texas, United States of America","(29.4246002, -98.4951405, 0.0)"
san diego,3,1,"San Diego, San Diego County, California, United States of America","San Diego, San Diego County, California, United States of America","(32.7174209, -117.1627714, 0.0)"
san diego ca,1,1,"San Diego, San Diego County, California, United States of America","San Diego, San Diego County, California, United States of America","(32.7174209, -117.1627714, 0.0)"
"san diego, ca",9,3,"San Diego, San Diego County, California, United States of America","San Diego, San Diego County, California, United States of America","(32.7174209, -117.1627714, 0.0)"
"san diego, california",1,0,"San Diego, San Diego County, California, United States of America","San Diego, San Diego County, California, United States of America","(32.7174209, -117.1627714, 0.0)"
san francisco,14,6,"San Francisco, San Francisco City and County, California, United States of America","San Francisco, San Francisco City and County, California, United States of America","(37.7790262, -122.4199061, 0.0)"
"san francisco , ca",1,1,"San Francisco, Avenue Joseph-Laflèche, Terrasse-Vaudreuil, Pincourt, Vaudreuil-Soulanges, Montérégie, Québec, J7V 5M5, Canada","San Francisco, Avenue Joseph-Laflèche, Terrasse-Vaudreuil, Pincourt, Vaudreuil-Soulanges, Montérégie, Québec, J7V 5M5, Canada","(45.3842702, -73.995482, 0.0)"
san francisco bay area,4,2,"San Francisco Bay Area, San Francisco, San Francisco City and County, California, 94130, United States of America","San Francisco Bay Area, San Francisco, San Francisco City and County, California, 94130, United States of America","(37.7884969, -122.3558473, 0.0)"
"san francisco, ca",11,7,"San Francisco, Avenue Joseph-Laflèche, Terrasse-Vaudreuil, Pincourt, Vaudreuil-Soulanges, Montérégie, Québec, J7V 5M5, Canada","San Francisco, Avenue Joseph-Laflèche, Terrasse-Vaudreuil, Pincourt, Vaudreuil-Soulanges, Montérégie, Québec, J7V 5M5, Canada","(45.3842702, -73.995482, 0.0)"
san fransokyo,1,0,,,
san gabriel la union,1,0,"San Gabriel, La Union, 2513, Philippines","San Gabriel, La Union, 2513, Philippines","(16.69781265, 120.46240581335263, 0.0)"
san jose,1,0,"San Jose, Santa Clara County, California, United States of America","San Jose, Santa Clara County, California, United States of America","(37.3361905, -121.8905833, 0.0)"
"san jose, ca",5,1,"San Jose, Santa Clara County, California, United States of America","San Jose, Santa Clara County, California, United States of America","(37.3361905, -121.8905833, 0.0)"
"san jose, ca, usa",1,1,"San Jose, Santa Clara County, California, United States of America","San Jose, Santa Clara County, California, United States of America","(37.3361905, -121.8905833, 0.0)"
"san jose, california",2,1,"San Jose, Santa Clara County, California, United States of America","San Jose, Santa Clara County, California, United States of America","(37.3361905, -121.8905833, 0.0)"
"san juan, puerto rico",1,0,"San Juan, Puerto Rico, 00901, United States of America","San Juan, Puerto Rico, 00901, United States of America","(18.465299, -66.116666, 0.0)"
"san luis obispo, ca",1,1,"San Luis Obispo County, California, United States of America","San Luis Obispo County, California, United States of America","(35.3540209, -120.3757163, 0.0)"
"san mateo county, ca",1,1,"San Mateo County, California, United States of America","San Mateo County, California, United States of America","(37.496904, -122.3330573, 0.0)"
sand springs oklahoma,2,0,"Sand Springs, Tulsa County, Oklahoma, United States of America","Sand Springs, Tulsa County, Oklahoma, United States of America","(36.1394339, -96.1100025, 0.0)"
"sandton, south africa",1,0,"Sandton, City of Johannesburg Metropolitan Municipality, Gauteng, 2010, South Africa","Sandton, City of Johannesburg Metropolitan Municipality, Gauteng, 2010, South Africa","(-26.0682406, 28.0479844, 0.0)"
"sanganer, rajasthan",1,1,"Sanganer, Sanganer Tehsil, Jaipur, Rajasthan, 303902, India","Sanganer, Sanganer Tehsil, Jaipur, Rajasthan, 303902, India","(26.8189509, 75.797099, 0.0)"
"santa clara, ca",1,1,"Santa Clara County, California, United States of America","Santa Clara County, California, United States of America","(37.2333253, -121.6846349, 0.0)"
"santa cruz, ca",2,1,"Santa Cruz County, California, United States of America","Santa Cruz County, California, United States of America","(37.050096, -121.9905908, 0.0)"
"santa maria, ca",1,0,"Santa Maria, Torbram Road, Grahamsville, Bramalea, Brampton, Peel Region, Golden Horseshoe, Ontario, L6T 1C1, Canada","Santa Maria, Torbram Road, Grahamsville, Bramalea, Brampton, Peel Region, Golden Horseshoe, Ontario, L6T 1C1, Canada","(43.7164061, -79.6835283, 0.0)"
"santa monica, ca",1,0,"Santa Monica, Ferme-Neuve, Antoine-Labelle, Laurentides, Québec, Canada","Santa Monica, Ferme-Neuve, Antoine-Labelle, Laurentides, Québec, Canada","(46.724362, -75.559685, 0.0)"
santiago bernabeau,1,0,"Santiago Bernabeau Stadium, St John's Baptist School, Gatwekera, Nairobi, 00400, Kenya","Santiago Bernabeau Stadium, St John's Baptist School, Gatwekera, Nairobi, 00400, Kenya","(-1.3146821, 36.7841018, 0.0)"
santiago de chile,1,1,"Santiago, Provincia de Santiago, Región Metropolitana de Santiago, Chile","Santiago, Provincia de Santiago, Región Metropolitana de Santiago, Chile","(-33.4377968, -70.6504451, 0.0)"
santiago de cmpostela galicia,1,1,,,
santo domingo,1,1,"Santo Domingo, Santo Domingo de Guzmán, Distrito Nacional, 10129, República Dominicana","Santo Domingo, Santo Domingo de Guzmán, Distrito Nacional, 10129, República Dominicana","(18.4801972, -69.942111, 0.0)"
santo domingo alma rosa ,1,1,"Alma Rosa, La Milagrosa, Santo Domingo Este, Santo Domingo, 11504, República Dominicana","Alma Rosa, La Milagrosa, Santo Domingo Este, Santo Domingo, 11504, República Dominicana","(18.4918726, -69.8559554, 0.0)"
sao paulo,1,1,"São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil","São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil","(-23.5506507, -46.6333824, 0.0)"
"sao paulo, brazil",1,0,"São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil","São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil","(-23.5506507, -46.6333824, 0.0)"
"sarasota, fl",2,1,"Sarasota, Sarasota County, Florida, United States of America","Sarasota, Sarasota County, Florida, United States of America","(27.3364347, -82.5306527, 0.0)"
"saskatchewan, canada",1,0,"Saskatchewan, Canada","Saskatchewan, Canada","(55.5321257, -106.1412243, 0.0)"
saudi arabia,1,1,السعودية,السعودية,"(25.6242618, 42.3528328, 0.0)"
savage states of america,1,1,,,
"savannah, ga",1,1,"Savannah, Chatham County, Georgia, United States of America","Savannah, Chatham County, Georgia, United States of America","(32.0809263, -81.0911768, 0.0)"
scandinavia,2,0,"Scandinavia, Waupaca County, Wisconsin, United States of America","Scandinavia, Waupaca County, Wisconsin, United States of America","(44.4616446, -89.1492785, 0.0)"
"scituate, ma",1,0,"Scituate, Plymouth County, Massachusetts, United States of America","Scituate, Plymouth County, Massachusetts, United States of America","(42.1939754, -70.7697128, 0.0)"
scotland,8,4,"Scotland, United Kingdom","Scotland, United Kingdom","(56.7861112, -4.1140518, 0.0)"
"scotland, united kingdom",2,1,"Scotland, United Kingdom","Scotland, United Kingdom","(56.7861112, -4.1140518, 0.0)"
"scotts valley, ca",1,0,"Scotts Valley, Santa Cruz County, California, United States of America","Scotts Valley, Santa Cruz County, California, United States of America","(37.0510595, -122.0146841, 0.0)"
"scottsdale, az",1,0,"Scottsdale, Maricopa County, Arizona, United States of America","Scottsdale, Maricopa County, Arizona, United States of America","(33.4942189, -111.9260184, 0.0)"
"screwston, tx",1,1,,,
scumbernauld,1,0,,,
sea server,1,0,,,
searching for bae ,1,1,,,
seattle,11,4,"Seattle, King County, Washington, United States of America","Seattle, King County, Washington, United States of America","(47.6038321, -122.3300624, 0.0)"
seattle grace mercy death,1,0,,,
"seattle native in prescott, az",1,0,,,
seattle wa,2,1,"Seattle, King County, Washington, United States of America","Seattle, King County, Washington, United States of America","(47.6038321, -122.3300624, 0.0)"
"seattle, wa",7,3,"Seattle, King County, Washington, United States of America","Seattle, King County, Washington, United States of America","(47.6038321, -122.3300624, 0.0)"
"seattle, wa usa",1,1,"Seattle, King County, Washington, United States of America","Seattle, King County, Washington, United States of America","(47.6038321, -122.3300624, 0.0)"
"seattle, washington",4,0,"Seattle, King County, Washington, United States of America","Seattle, King County, Washington, United States of America","(47.6038321, -122.3300624, 0.0)"
sec country,1,0,"El Sec, Bèlgida, la Vall d'Albaida, València / Valencia, Comunitat Valenciana, 46868, España","El Sec, Bèlgida, la Vall d'Albaida, València / Valencia, Comunitat Valenciana, 46868, España","(38.8636114, -0.469648, 0.0)"
see the barn of bleakness,1,0,,,
selangor,1,1,"Selangor, Malaysia","Selangor, Malaysia","(3.2083304, 101.304146, 0.0)"
"semarang, indonesia",1,0,"Semarang, Jawa Tengah, Indonesia","Semarang, Jawa Tengah, Indonesia","(-6.9903988, 110.4229104, 0.0)"
seoul,1,1,"서울, 대한민국","서울, 대한민국","(37.5666791, 126.9782914, 0.0)"
serva fidem,1,1,,,
sf bay area,2,1,"San Francisco Bay Area, San Francisco, San Francisco City and County, California, 94130, United States of America","San Francisco Bay Area, San Francisco, San Francisco City and County, California, 94130, United States of America","(37.7884969, -122.3558473, 0.0)"
shady pines ,1,0,"Shady Pines, Chiselville, Sunderland, Bennington County, Vermont, 05252, United States of America","Shady Pines, Chiselville, Sunderland, Bennington County, Vermont, 05252, United States of America","(43.085732, -73.113204, 0.0)"
"shah alam,malaysia",1,0,"Shah Alam, Malaysia","Shah Alam, Malaysia","(3.0898294, 101.53116264843747, 0.0)"
shanghai,1,0,"上海市, China 中国","上海市, China 中国","(31.2322758, 121.4692071, 0.0)"
"sheffield township, ohio",1,1,"Sheffield Township, Lorain County, Ohio, United States of America","Sheffield Township, Lorain County, Ohio, United States of America","(41.4283035, -82.15437852366313, 0.0)"
shelby county,1,1,"Shelby County, Texas, United States of America","Shelby County, Texas, United States of America","(31.7716364, -94.1301652, 0.0)"
"sherwood, brisbane, australia",1,0,"Sherwood, Brisbane, Queensland, 4075, Australia","Sherwood, Brisbane, Queensland, 4075, Australia","(-27.530861, 152.9826097, 0.0)"
shipwreck cove,1,1,"Shipwreck Cove, B4247, Rhossili, Swansea, Cymru / Wales, SA3 1PP, United Kingdom","Shipwreck Cove, B4247, Rhossili, Swansea, Cymru / Wales, SA3 1PP, United Kingdom","(51.569183, -4.295173, 0.0)"
"shirley, ny",1,0,"Shirley, Suffolk County, New York, 11967, United States of America","Shirley, Suffolk County, New York, 11967, United States of America","(40.796841650000005, -72.87000485081444, 0.0)"
shity land of northern ireland,1,0,,,
shoujo hell ,1,1,,,
shrewsbury,1,0,"Shrewsbury, Shropshire, West Midlands, England, SY1 1JZ, United Kingdom","Shrewsbury, Shropshire, West Midlands, England, SY1 1JZ, United Kingdom","(52.707755, -2.7540658, 0.0)"
"sicamous, british columbia",1,1,"Sicamous, Columbia-Shuswap Regional District, British Columbia, Canada","Sicamous, Columbia-Shuswap Regional District, British Columbia, Canada","(50.8367991, -118.9826386, 0.0)"
"silesia, poland",1,0,"województwo śląskie, Polska","województwo śląskie, Polska","(50.5687422, 19.2343995, 0.0)"
silicon valley,2,1,"Silicon Valley, Palo Alto, Santa Clara County, California, 94301, United States of America","Silicon Valley, Palo Alto, Santa Clara County, California, 94301, United States of America","(37.4429964, -122.1545229, 0.0)"
"silver spring, md",2,1,"Silver Spring, Montgomery County, Maryland, United States of America","Silver Spring, Montgomery County, Maryland, United States of America","(38.9959461, -77.0276231, 0.0)"
silvermoon or ironforge,1,1,,,
sindria,1,1,,,
singapore,5,1,Singapore,Singapore,"(1.357107, 103.8194992, 0.0)"
"sioux falls, sd",1,0,"Sioux Falls, Minnehaha County, South Dakota, United States of America","Sioux Falls, Minnehaha County, South Dakota, United States of America","(43.5499749, -96.700327, 0.0)"
sisterhood,1,0,"Sisterhood, King Street, Sandy Bay Shopping Area, Sandy Bay, Hobart, City of Hobart, Tasmania, 7005, Australia","Sisterhood, King Street, Sandy Bay Shopping Area, Sandy Bay, Hobart, City of Hobart, Tasmania, 7005, Australia","(-42.8945178, 147.3271424, 0.0)"
"sitting on eddie vedders lap,",1,0,,,
"sitting on the fence, new york",1,0,,,
skyhold,1,1,,,
skyport de la rosa,1,0,,,
slappin and smackin ,1,0,,,
"slateport city, hoenn",1,0,,,
"slatina,romania",1,0,"Slatina, Olt, România","Slatina, Olt, România","(44.4299971, 24.3631837, 0.0)"
"sligo and galway, ireland",1,1,,,
sneaking glances at thancred,1,0,,,
socal,1,0,"Socal, Registro, Região Imediata de Registro, Região Geográfica Intermediária de Sorocaba, São Paulo, Região Sudeste, Brasil","Socal, Registro, Região Imediata de Registro, Região Geográfica Intermediária de Sorocaba, São Paulo, Região Sudeste, Brasil","(-24.3998924, -47.7125224, 0.0)"
"sochi, kda, ru",1,0,"Сочи, городской округ Сочи, релейшен для роутингового слоя в Навителе, Южный федеральный округ, Россия","Сочи, городской округ Сочи, релейшен для роутингового слоя в Навителе, Южный федеральный округ, Россия","(43.5854823, 39.723109, 0.0)"
sodak,1,1,"Sodak Mill, Madison County, Montana, United States of America","Sodak Mill, Madison County, Montana, United States of America","(45.4282581, -112.6008506, 0.0)"
somalia,2,1,Soomaaliya الصومال,Soomaaliya الصومال,"(8.3676771, 49.083416, 0.0)"
some other mansion,1,0,,,
some pum pum,1,0,,,
some where,1,0,"Some Where, شارع 34, Port Saeed, دبي, 22542, United Arab Emirates","Some Where, شارع 34, Port Saeed, دبي, 22542, United Arab Emirates","(25.25401995, 55.329551486309114, 0.0)"
some where in this world,1,0,,,
"somecity, somerset, md",1,0,,,
someplace living my life,1,0,,,
"somerset, uk",1,0,"Great Britain, Somerset, Richmondshire, North Yorkshire, Yorkshire and the Humber, England, United Kingdom","Great Britain, Somerset, Richmondshire, North Yorkshire, Yorkshire and the Humber, England, United Kingdom","(51.161750850000004, -3.0753867062227487, 0.0)"
somewhere,1,0,"Somewhere, Rue du Commerce, Paris 15e Arrondissement, Paris, Île-de-France, France métropolitaine, 75015, France","Somewhere, Rue du Commerce, Paris 15e Arrondissement, Paris, Île-de-France, France métropolitaine, 75015, France","(48.8440437, 2.2934455, 0.0)"
somewhere ,1,0,"Somewhere, Rue du Commerce, Paris 15e Arrondissement, Paris, Île-de-France, France métropolitaine, 75015, France","Somewhere, Rue du Commerce, Paris 15e Arrondissement, Paris, Île-de-France, France métropolitaine, 75015, France","(48.8440437, 2.2934455, 0.0)"
somewhere around you,1,1,"Somewhere around here is a great pizza place. Would highly recommend, Monkey road, Sabang, Cabayugan, Puerto Princesa, Palawan, Mimaropa, Philippines","Somewhere around here is a great pizza place. Would highly recommend, Monkey road, Sabang, Cabayugan, Puerto Princesa, Palawan, Mimaropa, Philippines","(10.1958309, 118.8974042, 0.0)"
somewhere in cali ,1,0,,,
somewhere in indiana ,1,0,,,
somewhere in jersey,1,0,,,
somewhere in portugal,1,0,,,
somewhere in spain,1,1,"Somewhere, Carrer d'Aragó, la Dreta de l'Eixample, Barcelona, Barcelonès, Barcelona, Catalunya, 08001, España","Somewhere, Carrer d'Aragó, la Dreta de l'Eixample, Barcelona, Barcelonès, Barcelona, Catalunya, 08001, España","(41.394568, 2.1683482, 0.0)"
somewhere in the canada,2,2,"Somewhere Over There, Garibaldi Highlands, Squamish, Squamish-Lillooet Regional District, British Columbia, V8B 0N8, Canada","Somewhere Over There, Garibaldi Highlands, Squamish, Squamish-Lillooet Regional District, British Columbia, V8B 0N8, Canada","(49.7273576, -123.0837289, 0.0)"
somewhere out there,2,2,,,
somewhere outside,1,1,,,
somewhere over a rainbow,1,1,,,
somewhere powerbraking a chevy,1,0,,,
somewhere too cold for me,1,1,,,
somewhere usa ,2,0,"Somewhere, Stone Avenue, Bouse, La Paz County, Arizona, 85325, United States of America","Somewhere, Stone Avenue, Bouse, La Paz County, Arizona, 85325, United States of America","(33.9274561, -114.0028331, 0.0)"
somewhere with clyde,1,0,,,
soufside,1,0,,,
south africa,9,2,South Africa,South Africa,"(-28.8166236, 24.991639, 0.0)"
south africa eastern cape,1,0,"Eastern Cape, South Africa","Eastern Cape, South Africa","(-32.2171831, 26.6386401, 0.0)"
south asia,1,1,"Asia, El Trébol, Municipio de El Trébol, Departamento San Martín, Santa Fe, S2535, Argentina","Asia, El Trébol, Municipio de El Trébol, Departamento San Martín, Santa Fe, S2535, Argentina","(-32.173511, -61.7130193, 0.0)"
"south bloomfield, oh",1,1,"South Bloomfield, Pickaway County, Ohio, United States of America","South Bloomfield, Pickaway County, Ohio, United States of America","(39.7183962, -82.9868489, 0.0)"
south carolina,1,1,"South Carolina, United States of America","South Carolina, United States of America","(33.6874388, -80.4363743, 0.0)"
"south carolina, usa",1,0,"South Carolina, United States of America","South Carolina, United States of America","(33.6874388, -80.4363743, 0.0)"
south central wales,1,0,"South Central, Town Hill, Hightown, Wrexham, Cymru / Wales, LL13 8NB, United Kingdom","South Central, Town Hill, Hightown, Wrexham, Cymru / Wales, LL13 8NB, United Kingdom","(53.0445884, -2.9943897, 0.0)"
south florida,1,0,"South Florida, Columbus, Cherokee County, Kansas, 66725, United States of America","South Florida, Columbus, Cherokee County, Kansas, 66725, United States of America","(37.1677128, -94.8464256, 0.0)"
south of heaven ,1,1,"South of Heaven, Kullagatan, Centrum, Helsingborg, Helsingborgs kommun, Skåne län, Götaland, 252 20, Sverige","South of Heaven, Kullagatan, Centrum, Helsingborg, Helsingborgs kommun, Skåne län, Götaland, 252 20, Sverige","(56.0489126, 12.6920226, 0.0)"
"south pasadena, ca",1,0,"South Pasadena, Los Angeles County, California, 91030, United States of America","South Pasadena, Los Angeles County, California, 91030, United States of America","(34.1133062, -118.1478291, 0.0)"
south stand,2,0,"South Stand, Letherby Drive, Mount Florida, Glasgow, Glasgow City, Scotland, G44 4SA, United Kingdom","South Stand, Letherby Drive, Mount Florida, Glasgow, Glasgow City, Scotland, G44 4SA, United Kingdom","(55.8251676, -4.25176854699872, 0.0)"
"south west, england",1,1,"England, United Kingdom","England, United Kingdom","(52.7954791, -0.5402402866174321, 0.0)"
"south, england",1,1,"England, Arvika kommun, Värmlands län, Svealand, Sverige","England, Arvika kommun, Värmlands län, Svealand, Sverige","(59.743273900000005, 12.711520968966536, 0.0)"
"south, usa",3,2,"Sandusky County, Ohio, United States of America","Sandusky County, Ohio, United States of America","(41.2951563, -83.1555438, 0.0)"
southeast asia,1,1,"asia, corn street, Witney, West Oxfordshire, Oxfordshire, South East, England, OX28 6DB, United Kingdom","asia, corn street, Witney, West Oxfordshire, Oxfordshire, South East, England, OX28 6DB, United Kingdom","(51.7835586, -1.4887629091318098, 0.0)"
southern califorina,1,0,,,
southern california,6,2,"California, Bona Qabelanka, Sidama, ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል / Southern Nations Nationalities Peoples, Ethiopia","California, Bona Qabelanka, Sidama, ደቡብ ብሔሮች ብሔረሰቦችና ሕዝቦች ክልል / Southern Nations Nationalities Peoples, Ethiopia","(6.5310848, 38.712224, 0.0)"
southern california desert,1,0,"Southern California Desert Section, Grizzly Peak Boulevard, La Loma Park, Oakland, Contra Costa County, California, 94708, United States of America","Southern California Desert Section, Grizzly Peak Boulevard, La Loma Park, Oakland, Contra Costa County, California, 94708, United States of America","(37.8930529, -122.2427065, 0.0)"
southern maine,1,1,"University of Southern Maine, Fessenden Street, Oakdale, Portland, Cumberland County, Maine, 04101, United States of America","University of Southern Maine, Fessenden Street, Oakdale, Portland, Cumberland County, Maine, 04101, United States of America","(43.66213935, -70.27521965937257, 0.0)"
"southwest, tx",1,0,"Texas, United States of America","Texas, United States of America","(31.8160381, -99.5120986, 0.0)"
spain,1,1,España,España,"(39.3262345, -4.8380649, 0.0)"
speaking the truth in love,1,0,,,
"spokane, wa",2,1,"Spokane, Spokane County, Washington, United States of America","Spokane, Spokane County, Washington, United States of America","(47.6579425, -117.4212265, 0.0)"
"spokane, washington",1,1,"Spokane, Spokane County, Washington, United States of America","Spokane, Spokane County, Washington, United States of America","(47.6579425, -117.4212265, 0.0)"
"spring grove, il",1,0,"Spring Grove, McHenry County, Illinois, 60081, United States of America","Spring Grove, McHenry County, Illinois, 60081, United States of America","(42.4436308, -88.2364775, 0.0)"
spring tx,1,0,"Texas, United States of America","Texas, United States of America","(31.8160381, -99.5120986, 0.0)"
spying on your thoughts,1,1,,,
sri lanka,1,1,ශ්‍රී ලංකාව இலங்கை,ශ්‍රී ලංකාව இலங்கை,"(7.5554942, 80.7137847, 0.0)"
"srinagar,kashmir",1,1,"Srinagar, Srinagar (South), Srinagar, Jammu and Kashmir, 190010, India","Srinagar, Srinagar (South), Srinagar, Jammu and Kashmir, 190010, India","(34.0747444, 74.8204443, 0.0)"
ss,10,1,"Sassari, Sardegna, Italia","Sassari, Sardegna, Italia","(40.777800400000004, 8.921996955790174, 0.0)"
"st austell, cornwall",1,0,"St Austell, Cornwall, South West England, England, PL25 4TS, United Kingdom","St Austell, Cornwall, South West England, England, PL25 4TS, United Kingdom","(50.338466, -4.7882104, 0.0)"
st joseph de beauce,1,1,"Saint-Joseph-de-Beauce, Robert-Cliche, Chaudière-Appalaches, Québec, G0S 2V0, Canada","Saint-Joseph-de-Beauce, Robert-Cliche, Chaudière-Appalaches, Québec, G0S 2V0, Canada","(46.310181, -70.877953, 0.0)"
"st louis, mo",1,1,"St. Louis, City of Saint Louis, Missouri, United States of America","St. Louis, City of Saint Louis, Missouri, United States of America","(38.6268039, -90.1994097, 0.0)"
"st paul, mn",2,0,"St. Paul, Ramsey County, Minnesota, United States of America","St. Paul, Ramsey County, Minnesota, United States of America","(44.9504037, -93.1015026, 0.0)"
st petersburgfl,1,0,,,
stage with trey songz,1,0,,,
staggering on tenement roofs,1,0,,,
"stalybridge, tameside",1,1,"Stalybridge, Tameside, Greater Manchester, North West England, England, SK15 1JU, United Kingdom","Stalybridge, Tameside, Greater Manchester, North West England, England, SK15 1JU, United Kingdom","(53.4840214, -2.0562536, 0.0)"
stanford university,1,0,"Stanford University, Addison Avenue, University South, Palo Alto, Santa Clara County, California, 94301, United States of America","Stanford University, Addison Avenue, University South, Palo Alto, Santa Clara County, California, 94301, United States of America","(37.431313849999995, -122.16936535498309, 0.0)"
starling city,1,0,"Starling, Bury, Greater Manchester, North West England, England, BL8 2HE, United Kingdom","Starling, Bury, Greater Manchester, North West England, England, BL8 2HE, United Kingdom","(53.5888182, -2.3415148, 0.0)"
"state college, pa",4,2,"State College, Centre County, Pennsylvania, United States of America","State College, Centre County, Pennsylvania, United States of America","(40.7944504, -77.8616386, 0.0)"
state of dreaming,1,0,"Dreaming, Avenida Los Conquistadores, Centro financiero de San Isidro, San Isidro, Lima, 15073, Peru","Dreaming, Avenida Los Conquistadores, Centro financiero de San Isidro, San Isidro, Lima, 15073, Peru","(-12.1001215, -77.0366331, 0.0)"
state of georgia,1,0,"State of Georgia, Kinlaw, Camden County, Georgia, United States of America","State of Georgia, Kinlaw, Camden County, Georgia, United States of America","(30.8572484, -81.67626275443196, 0.0)"
stateless global citizen,1,1,,,
"stockholm, sweden",3,2,"Stockholm, Stockholms kommun, Stockholms län, Svealand, 111 29, Sverige","Stockholm, Stockholms kommun, Stockholms län, Svealand, 111 29, Sverige","(59.3251172, 18.0710935, 0.0)"
stockton on tees teesside uk,1,1,,,
storybrooke ,1,0,"Storybrooke Lane, Port Orange, Volusia County, Florida, 32128, United States of America","Storybrooke Lane, Port Orange, Volusia County, Florida, 32128, United States of America","(29.0596004, -81.0342848, 0.0)"
stowmarket,1,1,"Stowmarket, Mid Suffolk, Suffolk, East of England, England, IP14 1ET, United Kingdom","Stowmarket, Mid Suffolk, Suffolk, East of England, England, IP14 1ET, United Kingdom","(52.1878147, 0.9973428, 0.0)"
"stratford, ct",1,1,"Stratford, Fairfield, Connecticut, United States of America","Stratford, Fairfield, Connecticut, United States of America","(41.1845415, -73.1331651, 0.0)"
street of dallas,2,2,"Dallas, Na Brůdku, Litol, Lysá nad Labem, okres Nymburk, Středočeský kraj, Střední Čechy, 28922, Česká republika","Dallas, Na Brůdku, Litol, Lysá nad Labem, okres Nymburk, Středočeský kraj, Střední Čechy, 28922, Česká republika","(50.18392465, 14.855120158571436, 0.0)"
studio,1,1,"Studio, Plac Defilad, IV, Śródmieście, Warszawa, województwo mazowieckie, 00-901, Polska","Studio, Plac Defilad, IV, Śródmieście, Warszawa, województwo mazowieckie, 00-901, Polska","(52.2326368, 21.0067376, 0.0)"
subconscious la,3,1,"Forest of the Subconscious, Wisteria Pergola, Chewalla Park, Hamilton Township, Mercer County, New Jersey, 08619, United States of America","Forest of the Subconscious, Wisteria Pergola, Chewalla Park, Hamilton Township, Mercer County, New Jersey, 08619, United States of America","(40.23621645, -74.71599401297959, 0.0)"
"suburban detroit, michigan",1,1,,,
"sugar land, tx",1,0,"Sugar Land, Fort Bend County, Texas, United States of America","Sugar Land, Fort Bend County, Texas, United States of America","(29.6196787, -95.6349463, 0.0)"
"sugarhouse, ut",1,0,"Sugarhouse Park North Road, Sugar House, Salt Lake City, Salt Lake County, Utah, 84106, United States of America","Sugarhouse Park North Road, Sugar House, Salt Lake City, Salt Lake County, Utah, 84106, United States of America","(40.7253043, -111.8479469, 0.0)"
suitland,1,0,"Suitland, Prince George's County, Maryland, 20233, United States of America","Suitland, Prince George's County, Maryland, 20233, United States of America","(38.848724, -76.9238625, 0.0)"
"sumter, sc",1,0,"Sumter County, South Carolina, United States of America","Sumter County, South Carolina, United States of America","(33.8998826, -80.3237032, 0.0)"
"sunbury, ohio",1,0,"Sunbury, Delaware County, Ohio, United States of America","Sunbury, Delaware County, Ohio, United States of America","(40.2425623, -82.8590673, 0.0)"
sunny south florida ,1,0,"Sunny South, Wilcox County, Alabama, United States of America","Sunny South, Wilcox County, Alabama, United States of America","(31.9648729, -87.6400017, 0.0)"
"sunnyvale, ca",1,0,"Sunnyvale, Lower Sackville, Halifax County, Nova Scotia, Canada","Sunnyvale, Lower Sackville, Halifax County, Nova Scotia, Canada","(44.7858558, -63.693173, 0.0)"
"sunrise manor, nv",1,1,"Sunrise Manor, Clark County, Nevada, United States of America","Sunrise Manor, Clark County, Nevada, United States of America","(36.1830875, -115.02796403836633, 0.0)"
"sunshine coast, queensland",1,0,"Sunshine Coast, Maroochydore, Queensland, Australia","Sunshine Coast, Maroochydore, Queensland, Australia","(-26.5443222, 153.0507705, 0.0)"
suplex city,2,1,,,
surabaya,1,1,"Surabaya, Jawa Timur, Indonesia","Surabaya, Jawa Timur, Indonesia","(-7.2459717, 112.7378266, 0.0)"
surrounded by weeaboos,1,1,,,
"surry hills, sydney",1,0,"Surry Hills, Sydney, Council of the City of Sydney, 2010, Australia","Surry Hills, Sydney, Council of the City of Sydney, 2010, Australia","(-33.8845123, 151.2100301, 0.0)"
"surulere lagos,home of swagg",1,1,,,
"sutton, london uk",1,0,"London Borough of Sutton, London, Greater London, England, United Kingdom","London Borough of Sutton, London, Greater London, England, United Kingdom","(51.3575114, -0.173640122600872, 0.0)"
swag francisco,1,0,,,
